Date : 2025-08-28 00:51:56
Directory : /home/mario/Desktop/Masterarbeit/OptiXApp/src
Total : 91 files,  10002 codes, 1501 comments, 1933 blanks, all 13436 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         66 |      8,708 |      1,501 |      1,637 |     11,846 |
| CUDA C++ |         11 |      1,049 |          0 |        181 |      1,230 |
| GLSL     |         10 |        174 |          0 |         77 |        251 |
| CMake    |          4 |         71 |          0 |         38 |        109 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                       |         91 |     10,002 |      1,501 |      1,933 |     13,436 |
| . (Files)                                                                               |          1 |          3 |          0 |          0 |          3 |
| mwir                                                                                    |         32 |      4,527 |        781 |        818 |      6,126 |
| mwir (Files)                                                                            |         23 |      1,397 |          0 |        295 |      1,692 |
| mwir/modules                                                                            |          9 |      3,130 |        781 |        523 |      4,434 |
| pybindmwir                                                                              |         16 |        794 |          0 |        226 |      1,020 |
| utils                                                                                   |         12 |      1,601 |          3 |        238 |      1,842 |
| utils/opengl                                                                            |          5 |      1,160 |          2 |        149 |      1,311 |
| utils/optix                                                                             |          7 |        441 |          1 |         89 |        531 |
| viewer                                                                                  |         30 |      3,077 |        717 |        651 |      4,445 |
| viewer (Files)                                                                          |         15 |      1,030 |         10 |        229 |      1,269 |
| viewer/modules                                                                          |          4 |      1,866 |        707 |        344 |      2,917 |
| viewer/shader                                                                           |         11 |        181 |          0 |         78 |        259 |
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/CMakeLists.txt                            | CMake    |          3 |          0 |          0 |          3 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/mwir/CMakeLists.txt                       | CMake    |         27 |          0 |         17 |         44 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/mwir/antenna.cpp                          | C++      |        113 |          0 |         22 |        135 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/mwir/antenna.hpp                          | C++      |         37 |          0 |         10 |         47 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/mwir/context.hpp                          | C++      |         21 |          0 |          4 |         25 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/mwir/function_table_definition.cu         | CUDA C++ |          1 |          0 |          1 |          2 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/mwir/kernels.cu                           | CUDA C++ |         31 |          0 |          7 |         38 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/mwir/kernels.hpp                          | C++      |          5 |          0 |          2 |          7 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/mwir/many_worlds.cu                       | CUDA C++ |        237 |          0 |         28 |        265 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/mwir/many_worlds.hpp                      | C++      |         62 |          0 |         14 |         76 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/mwir/many_worlds_pipeline.cpp             | C++      |         64 |          0 |         21 |         85 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/mwir/many_worlds_pipeline.hpp             | C++      |         30 |          0 |          8 |         38 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/mwir/many_worlds_renderer.cu              | CUDA C++ |        101 |          0 |         18 |        119 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/mwir/many_worlds_renderer.hpp             | C++      |         33 |          0 |         12 |         45 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/mwir/mesh.cpp                             | C++      |         63 |          0 |         10 |         73 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/mwir/mesh.hpp                             | C++      |         29 |          0 |         10 |         39 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/mwir/modules/common.h                     | C++      |         69 |          0 |         15 |         84 |
